Time,IN Traffic,OUT Traffic
Apr-19-21 12:00,4538964,4303474
Apr-19-21 11:00,3661661,2148204
Apr-19-21 10:00,1933154,1288548
Apr-19-21 09:00,1509978,943006
Apr-19-21 08:00,706317,456236
Apr-19-21 07:00,369991,342718
Apr-19-21 06:00,360854,332267
Apr-19-21 05:00,420163,374232
Apr-19-21 04:00,356413,335840
Apr-19-21 03:00,361230,340772
Apr-19-21 02:00,359435,336470
Apr-19-21 01:00,392521,358512
Apr-19-21 00:00,413207,367173
Apr-18-21 23:00,367819,338898
Apr-18-21 22:00,437195,373690
Apr-18-21 21:00,373641,347479
Apr-18-21 20:00,368786,341570
Apr-18-21 19:00,400497,354647
Apr-18-21 18:00,482289,386802
Apr-18-21 17:00,378432,351054
Apr-18-21 16:00,408980,362500
Apr-18-21 15:00,946801,729299
Apr-18-21 14:00,378605,353834
Apr-18-21 13:00,386393,355781
Apr-18-21 12:00,548680,459214
Apr-18-21 11:00,381980,354436
Apr-18-21 10:00,404660,369998
Apr-18-21 09:00,484406,432404
Apr-18-21 08:00,381778,343915
Apr-18-21 07:00,352387,333159
Apr-18-21 06:00,358961,332168
Apr-18-21 05:00,357750,329410
Apr-18-21 04:00,353961,332892
Apr-18-21 03:00,356787,334153
Apr-18-21 02:00,399491,357417
Apr-18-21 01:00,357471,332120
Apr-18-21 00:00,364857,338561
Apr-17-21 23:00,368375,335788
Apr-17-21 22:00,416294,348933
Apr-17-21 21:00,391732,377949
Apr-17-21 20:00,393621,352079
Apr-17-21 19:00,384458,354043
Apr-17-21 18:00,424526,378865
Apr-17-21 17:00,426261,374190
Apr-17-21 16:00,456847,402036
Apr-17-21 15:00,416848,374247
Apr-17-21 14:00,390042,362076
Apr-17-21 13:00,390387,361076
Apr-17-21 12:00,379241,356502
Apr-17-21 11:00,444786,400174
Apr-17-21 10:00,420791,381281
Apr-17-21 09:00,399463,366847
Apr-17-21 08:00,438100,379819
Apr-17-21 07:00,355503,331694
Apr-17-21 06:00,542069,441188
Apr-17-21 05:00,395660,353873
Apr-17-21 04:00,387289,349772
Apr-17-21 03:00,400647,362812
Apr-17-21 02:00,930645,681879
Apr-17-21 01:00,438096,369893
Apr-17-21 00:00,685392,552096
Apr-16-21 23:00,407538,389935
Apr-16-21 22:00,531266,449930
Apr-16-21 21:00,917616,754679
Apr-16-21 20:00,617041,568267
Apr-16-21 19:00,1069891,905915
Apr-16-21 18:00,1294313,1208797
Apr-16-21 17:00,3060476,1804960
Apr-16-21 16:00,3970212,2215476
Apr-16-21 15:00,3924621,2439395
Apr-16-21 14:00,3340311,2160704
Apr-16-21 13:00,2296759,1606752
Apr-16-21 12:00,2866960,2107663
Apr-16-21 11:00,3020558,1941937
Apr-16-21 10:00,2413829,1577381
Apr-16-21 09:00,878352,646429
Apr-16-21 08:00,699415,472348
Apr-16-21 07:00,398025,390576
Apr-16-21 06:00,527980,447879
Apr-16-21 05:00,382144,376775
Apr-16-21 04:00,553103,513940
Apr-16-21 03:00,634249,532253
Apr-16-21 02:00,625407,580441
Apr-16-21 01:00,670967,587769
Apr-16-21 00:00,664545,597847
Apr-15-21 23:00,490521,459575
Apr-15-21 22:00,500716,474466
Apr-15-21 21:00,702337,588924
Apr-15-21 20:00,1272517,963148
Apr-15-21 19:00,1700033,1293469
Apr-15-21 18:00,2734881,1907882
Apr-15-21 17:00,5008614,3420484
Apr-15-21 16:00,3318895,2212986
Apr-15-21 15:00,3959809,2620203
Apr-15-21 14:00,7547537,4336352
Apr-15-21 13:00,1978924,1431777
Apr-15-21 12:00,3769763,2595825
Apr-15-21 11:00,6151011,4059996
Apr-15-21 10:00,1889728,1352917
Apr-15-21 09:00,2642962,1439462
Apr-15-21 08:00,921754,562398
Apr-15-21 07:00,335156,335674
Apr-15-21 06:00,329815,329623
Apr-15-21 05:00,340909,331942
Apr-15-21 04:00,388437,376710
Apr-15-21 03:00,386465,352386
Apr-15-21 02:00,450112,393625
Apr-15-21 01:00,402358,374839
Apr-15-21 00:00,503955,424924
Apr-14-21 23:00,381931,369875
Apr-14-21 22:00,788100,665741
Apr-14-21 21:00,444886,421088
Apr-14-21 20:00,648760,521079
Apr-14-21 19:00,1129449,729978
Apr-14-21 18:00,2962608,1695924
Apr-14-21 17:00,3819774,2573007
Apr-14-21 16:00,4841672,3617170
Apr-14-21 15:00,3440040,2898369
Apr-14-21 14:00,3180517,2723313
Apr-14-21 13:00,3207507,3252103
Apr-14-21 12:00,4336360,2944850
Apr-14-21 11:00,3986495,2803996
Apr-14-21 10:00,1484535,1121341
Apr-14-21 09:00,1853729,1222447
Apr-14-21 08:00,4517775,1554155
Apr-14-21 07:00,511181,430390
Apr-14-21 06:00,429370,411568
Apr-14-21 05:00,907274,711959
Apr-14-21 04:00,435290,410565
Apr-14-21 03:00,484957,429499
Apr-14-21 02:00,626922,543791
Apr-14-21 01:00,710743,560920
Apr-14-21 00:00,770661,563736
Apr-13-21 23:00,788573,611597
Apr-13-21 22:00,2393930,1862236
Apr-13-21 21:00,1341019,1196752
Apr-13-21 20:00,2720975,1853728
Apr-13-21 19:00,1070813,823131
Apr-13-21 18:00,2097785,1356201
Apr-13-21 17:00,6129818,3393053
Apr-13-21 16:00,3225567,2216030
Apr-13-21 15:00,4369875,2446745
Apr-13-21 14:00,3593888,2565983
Apr-13-21 13:00,2624454,1713445
Apr-13-21 12:00,3502366,2815529
Apr-13-21 11:00,7224931,4095970
Apr-13-21 10:00,3478980,2089612
Apr-13-21 09:00,1145628,834200
Apr-13-21 08:00,962130,721054
Apr-13-21 07:00,594512,472074
Apr-13-21 06:00,541133,453956
Apr-13-21 05:00,556507,463353
Apr-13-21 04:00,709756,534809
Apr-13-21 03:00,575320,474484
Apr-13-21 02:00,579769,470986
Apr-13-21 01:00,610656,501633
Apr-13-21 00:00,676589,551406
Apr-12-21 23:00,880988,670801
Apr-12-21 22:00,1511938,851343
Apr-12-21 21:00,1394737,872651
Apr-12-21 20:00,2005725,1304784
Apr-12-21 19:00,3012509,1770999
Apr-12-21 18:00,4704952,2634653
Apr-12-21 17:00,3575551,2478823
Apr-12-21 16:00,4835072,3399447
Apr-12-21 15:00,6003335,3227114
Apr-12-21 14:00,3630292,1822431
Apr-12-21 13:00,5131862,2570030
Apr-12-21 12:00,3807438,2665518
Apr-12-21 11:00,2915560,2351386
Apr-12-21 10:00,3251563,2310153
Apr-12-21 09:00,4853834,2874871
Apr-12-21 08:00,786725,472316
Apr-12-21 07:00,381656,357376
Apr-12-21 06:00,401819,373182
Apr-12-21 05:00,352901,345028
Apr-12-21 04:00,353437,347043
